high_conf_pos_pct,stop_loss_pct,take_profit_1_pct,time_stop_days,n_days,n_trades,total_return_pct,annual_return_pct,annual_vol_pct,sharpe,max_drawdown_pct,calmar,win_rate_pct,avg_win_pct,avg_loss_pct,pl_ratio,total_pnl,composite
0.1,-0.025,0.05,2,9,38,-11.41,-96.63,31.96,-11.71,-12.65,-7.64,18.42,4.59,-6.22,0.74,-122675.28,-5.485
0.1,-0.025,0.05,3,9,32,-12.56,-97.67,31.48,-13.18,-13.81,-7.07,12.5,5.97,-6.83,0.87,-134128.13,-6.155
0.1,-0.025,0.05,4,9,32,-12.56,-97.67,31.48,-13.18,-13.81,-7.07,12.5,5.97,-6.83,0.87,-134128.13,-6.155
0.1,-0.025,0.07,2,9,38,-11.29,-96.51,32.22,-11.48,-12.62,-7.65,18.42,5.45,-6.22,0.88,-121527.08,-5.3
0.1,-0.025,0.07,3,9,32,-12.44,-97.58,31.84,-12.9,-13.78,-7.08,12.5,7.47,-6.83,1.09,-132977.35,-5.905
0.1,-0.025,0.07,4,9,32,-12.44,-97.58,31.84,-12.9,-13.78,-7.08,12.5,7.47,-6.83,1.09,-132977.35,-5.905
0.1,-0.025,0.1,2,9,38,-11.03,-96.21,31.63,-11.41,-12.29,-7.83,18.42,5.39,-6.22,0.87,-118898.0,-5.2700000000000005
0.1,-0.025,0.1,3,9,29,-12.93,-97.93,32.71,-13.08,-14.24,-6.88,3.45,9.35,-6.83,1.37,-137884.59,-5.855
0.1,-0.025,0.1,4,9,29,-12.93,-97.93,32.71,-13.08,-14.24,-6.88,3.45,9.35,-6.83,1.37,-137884.59,-5.855
0.1,-0.035,0.05,2,9,40,-8.74,-92.28,29.72,-9.51,-10.34,-8.93,30.0,4.69,-7.09,0.66,-96563.12,-4.425
0.1,-0.035,0.05,3,9,35,-12.1,-97.3,32.8,-12.14,-13.36,-7.28,25.71,5.29,-9.76,0.54,-129878.01,-5.800000000000001
0.1,-0.035,0.05,4,9,35,-12.1,-97.3,32.8,-12.14,-13.36,-7.28,25.71,5.29,-9.76,0.54,-129878.01,-5.800000000000001
0.1,-0.035,0.07,2,9,40,-8.66,-92.07,29.35,-9.53,-10.21,-9.02,27.5,5.76,-6.89,0.84,-95662.4,-4.345
0.1,-0.035,0.07,3,9,34,-11.97,-97.18,32.55,-12.09,-13.32,-7.3,23.53,6.84,-9.76,0.7,-128607.18,-5.695
0.1,-0.035,0.07,4,9,34,-11.97,-97.18,32.55,-12.09,-13.32,-7.3,23.53,6.84,-9.76,0.7,-128607.18,-5.695
0.1,-0.035,0.1,2,9,43,-9.95,-94.68,28.8,-11.26,-11.22,-8.44,25.58,6.55,-8.22,0.8,-108379.36,-5.2299999999999995
0.1,-0.035,0.1,3,9,32,-12.25,-97.42,34.28,-11.76,-13.56,-7.18,15.62,8.64,-9.51,0.91,-131445.42,-5.425
0.1,-0.035,0.1,4,9,32,-12.25,-97.42,34.28,-11.76,-13.56,-7.18,15.62,8.64,-9.51,0.91,-131445.42,-5.425
0.1,-0.05,0.05,2,9,36,-1.52,-34.95,19.04,-2.46,-3.69,-9.46,41.67,4.5,-8.01,0.56,-25232.46,-0.95
0.1,-0.05,0.05,3,9,30,-3.94,-67.51,29.48,-4.15,-6.16,-10.96,40.0,5.0,-11.65,0.43,-49330.19,-1.86
0.1,-0.05,0.05,4,9,30,-3.94,-67.51,29.48,-4.15,-6.16,-10.96,40.0,5.0,-11.65,0.43,-49330.19,-1.86
0.1,-0.05,0.07,2,9,36,-1.44,-33.31,19.37,-2.27,-3.7,-9.0,38.89,5.76,-7.7,0.75,-24326.06,-0.76
0.1,-0.05,0.07,3,9,29,-3.71,-65.29,29.63,-3.88,-5.95,-10.97,37.93,6.64,-11.65,0.57,-47140.89,-1.655
0.1,-0.05,0.07,4,9,29,-3.71,-65.29,29.63,-3.88,-5.95,-10.97,37.93,6.64,-11.65,0.57,-47140.89,-1.655
0.1,-0.05,0.1,2,9,40,-0.85,-21.19,18.39,-1.38,-3.05,-6.95,40.0,6.47,-7.54,0.86,-18429.9,-0.25999999999999995
0.1,-0.05,0.1,3,9,32,-3.53,-63.39,28.91,-3.78,-5.72,-11.08,37.5,7.36,-10.85,0.68,-45326.99,-1.5499999999999998
0.1,-0.05,0.1,4,9,32,-3.53,-63.39,28.91,-3.78,-5.72,-11.08,37.5,7.36,-10.85,0.68,-45326.99,-1.5499999999999998
0.15,-0.025,0.05,2,9,38,-15.25,-99.03,43.17,-11.76,-16.83,-5.88,18.42,4.59,-6.22,0.74,-163329.03,-5.51
0.15,-0.025,0.05,3,9,32,-16.84,-99.43,42.53,-13.31,-18.44,-5.39,12.5,5.97,-6.83,0.87,-179047.06,-6.220000000000001
0.15,-0.025,0.05,4,9,32,-16.84,-99.43,42.53,-13.31,-18.44,-5.39,12.5,5.97,-6.83,0.87,-179047.06,-6.220000000000001
0.15,-0.025,0.07,2,9,38,-15.06,-98.96,43.57,-11.48,-16.74,-5.91,18.42,5.45,-6.22,0.88,-161384.5,-5.3
0.15,-0.025,0.07,3,9,32,-16.66,-99.39,43.0,-13.01,-18.37,-5.41,12.5,7.47,-6.83,1.09,-177285.34,-5.96
0.15,-0.025,0.07,4,9,32,-16.66,-99.39,43.0,-13.01,-18.37,-5.41,12.5,7.47,-6.83,1.09,-177285.34,-5.96
0.15,-0.025,0.1,2,9,38,-14.76,-98.86,42.74,-11.46,-16.36,-6.04,18.42,5.39,-6.22,0.87,-158451.11,-5.295000000000001
0.15,-0.025,0.1,3,9,29,-17.3,-99.51,44.31,-13.15,-18.97,-5.25,3.45,9.35,-6.83,1.37,-183718.41,-5.890000000000001
0.15,-0.025,0.1,4,9,29,-17.3,-99.51,44.31,-13.15,-18.97,-5.25,3.45,9.35,-6.83,1.37,-183718.41,-5.890000000000001
0.15,-0.035,0.05,2,9,42,-14.41,-98.72,40.15,-11.91,-16.0,-6.17,28.57,4.69,-8.62,0.54,-155314.49,-5.6850000000000005
0.15,-0.035,0.05,3,9,35,-16.47,-99.35,47.35,-11.63,-18.08,-5.5,25.71,5.29,-9.76,0.54,-175787.84,-5.545
