ts_code,name,benchmark,index_code
560930.SH,电力ETF易方达,中证全指电力公用事业指数收益率,
159027.SZ,畜牧养殖ETF大成,中证畜牧养殖产业指数收益率,931946.CSI
159035.SZ,软件ETF天弘,中证软件服务指数收益率,
159032.SZ,工业有色ETF易方达,中证工业有色金属主题指数收益率,h01059.CSI
516840.SH,汽车ETF南方,中证全指汽车指数收益率,h21008.CSI
520730.SH,N港股通汽车ETF万家,恒生港股通汽车主题指数收益率,931239.CSI
159016.SZ,证券ETF广发,同期中证证券公司30指数收益率,
159021.SZ,大盘价值ETF华夏,国证大盘价值指数收益率,399373.SZ
159010.SZ,港股通科技ETF博时,恒生港股通科技主题指数收益率,931573.CSI
588480.SH,科创创业人工智能ETF中金,中证科创创业人工智能指数收益率,931643.CSI
560320.SH,食品ETF富国,中证全指食品指数收益率,h20177.CSI
560460.SH,N电力ETF平安,中证全指电力公用事业指数收益率,
159028.SZ,港股汽车ETF天弘,恒生港股通汽车主题指数收益率(经估值汇率调整),931239.CSI
513240.SH,港股通信息技术ETF华安,中证港股通信息技术综合指数(港元)收益率,930967.CSI
512140.SH,电力ETF华安,中证全指电力公用事业指数收益率,
159182.SZ,家电ETF南方,中证全指家用电器指数收益率,
159030.SZ,粮食ETF华夏,国证粮食产业指数收益率,
159193.SZ,新能源电池ETF银华,国证新能源电池指数收益率,
159017.SZ,石油ETF工银,国证石油天然气指数收益率,
159015.SZ,恒生港股通科技ETF国联,恒生港股通科技主题指数收益率,931573.CSI
560450.SH,电力ETF天弘,中证全指电力公用事业指数收益率,
512430.SH,家居家电ETF华泰柏瑞,中证家居家电指数收益率,931241.CSI
526050.SH,港股通信息技术ETF招商,中证港股通信息技术综合指数(港元)收益率,930967.CSI
560470.SH,有色ETF易方达,中证细分有色金属产业主题指数收益率,000811.SH
159192.SZ,家电ETF汇添富,中证家电龙头指数收益率,931021.CSI
159178.SZ,消费电子ETF汇添富,国证消费电子主题指数收益率,801085.SI
159020.SZ,养殖ETF易方达,中证畜牧养殖产业指数收益率,931946.CSI
159013.SZ,工业互联网ETF大成,中证工业互联网主题指数收益率,921495.CSI
159018.SZ,石油ETF广发,国证石油天然气指数同期收益率,
159026.SZ,石油ETF南方,国证石油天然气指数收益率,
515640.SH,家电ETF华夏,中证全指家用电器指数收益率,
159022.SZ,科创创业人工智能ETF富国,中证科创创业人工智能指数收益率,931643.CSI
159008.SZ,证券ETF景顺,中证全指证券公司指数收益率,h20168.CSI
159185.SZ,港股通信息技术ETF鹏华,中证港股通信息技术综合指数(港元)收益率,930967.CSI
159019.SZ,石油ETF华宝,国证石油天然气指数收益率,
589270.SH,科创100ETF前海开源,上证科创板100指数收益率,
526010.SH,港股通医疗ETF汇添富,中证港股通医疗主题指数(港元)收益率,932069.CSI
159007.SZ,养殖ETF华泰柏瑞,中证畜牧养殖产业指数收益率,931946.CSI
159009.SZ,创业板新能源ETF易方达,创业板新能源指数收益率,
159186.SZ,港股通汽车ETF鹏华,恒生港股通汽车主题指数(港元)收益率,931239.CSI
560410.SH,电池ETF鹏华,中证电池主题指数收益率,
526000.SH,港股通信息技术ETF华夏,中证港股通信息技术综合指数(港元)收益率,930967.CSI
159188.SZ,红利100ETF景顺,标普中国A股红利100指数收益率,
159199.SZ,石油ETF平安,国证石油天然气指数收益率,
159176.SZ,家电ETF华宝,中证全指家用电器指数收益率,
159197.SZ,石油ETF招商,国证石油天然气指数收益率,
516370.SH,电力ETF汇添富,中证全指电力公用事业指数收益率,
159196.SZ,港股通信息技术ETF易方达,中证港股通信息技术综合指数(港元)收益率,930967.CSI
159173.SZ,农牧ETF南方,中证全指农牧渔指数收益率,
159198.SZ,港股通信息技术ETF富国,中证港股通信息技术综合指数(港元)收益率,930967.CSI
589260.SH,科创芯片设计ETF国泰,上证科创板芯片设计主题指数收益率,
159180.SZ,软件ETF银华,国证工业软件主题指数收益率,
159187.SZ,创业板新能源ETF景顺,创业板新能源指数收益率,
159195.SZ,石油ETF华安,国证石油天然气指数收益率,
